0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:15:56 +0530] "GET /DigitalGallery/resources/My_Design/%7B%7Bproduct.productid%7D%7D.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:15:57 +0530] "GET /DigitalGallery/resources/My_Design/104.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:15:57 +0530] "GET /DigitalGallery/resources/My_Design/103.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:15:57 +0530] "GET /DigitalGallery/resources/My_Design/102.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:16:24 +0530] "GET /DigitalGallery/perform_logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:16:24 +0530] "GET /DigitalGallery/Login HTTP/1.1" 200 7141
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:16:24 +0530] "GET /DigitalGallery/resources/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:16:24 +0530] "GET /DigitalGallery/resources/bootstrap-theme.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:16:24 +0530] "GET /DigitalGallery/resources/bootstrap.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:16:24 +0530] "GET /DigitalGallery/resources/font/font-awesome.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:16:24 +0530] "GET /DigitalGallery/resources/jquery.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:16:24 +0530] "GET /DigitalGallery/resources/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:16:24 +0530] "GET /DigitalGallery/resources/My_Design/cart11.png HTTP/1.1" 200 1217
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:16:24 +0530] "GET /DigitalGallery/resources/My_Design/logo.jpg HTTP/1.1" 200 14536
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:16:24 +0530] "GET /DigitalGallery/resources/bootstrap.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:16:32 +0530] "POST /DigitalGallery/perform_login HTTP/1.1" 200 8660
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:16:33 +0530] "GET /DigitalGallery/resources/My_Design/angular.min.js HTTP/1.1" 200 160048
